comparison,g1,g2,layer,metric,g1_mean,g2_mean,cohens_d,p_value,significant
CoT Success vs Direct Failure,G4,G1,3,dir_consistency,0.046659899065312746,0.3339527756850488,-2.7419377390245714,0.0,True
CoT Success vs Direct Failure,G4,G1,3,stabilization,0.011158641167044285,0.6352932151318158,-1.512152036766278,0.0,True
CoT Success vs Direct Failure,G4,G1,3,turning_angle,1.9896193502195212,1.9688228436327173,0.5116717616022279,0.0,True
CoT Success vs Direct Failure,G4,G1,3,dir_autocorr,-0.4043864018446661,-0.38954329718408626,-0.4313852924012206,0.0,False
CoT Success vs Direct Failure,G4,G1,3,tortuosity,0.03671826325323545,0.32929475639422656,-2.675713662218875,0.0,True
CoT Success vs Direct Failure,G4,G1,3,effective_dim,13.093439679509322,3.1582912425286906,5.29024073594366,0.0,True
CoT Success vs Direct Failure,G4,G1,3,cos_slope,-0.00014736225400654348,0.08946516906606845,-2.2202781501441313,0.0,True
CoT Success vs Direct Failure,G4,G1,3,dist_slope,0.006280042268157957,-0.30187519339646407,1.0599075784133565,0.0,True
CoT Success vs Direct Failure,G4,G1,3,early_late_ratio,0.9351859597881813,1.0523324020564817,-2.048862408682973,0.0,True
CoT Success vs Direct Failure,G4,G1,3,radius_of_gyration,7.469165900362981,6.217193404672599,4.462620051664748,0.0,True
CoT Success vs Direct Failure,G4,G1,3,gyration_anisotropy,0.8746622974157275,0.9257136010972923,-0.9597714056309349,0.0,True
CoT Success vs Direct Failure,G4,G1,3,drift_to_spread,1.4957680247824288,1.6961358638427517,-1.2283785162226346,0.0,True
CoT Success vs Direct Failure,G4,G1,3,dir_autocorr_lag2,-0.08820141178676898,-0.07469882293333927,-0.6668204395392159,0.0,True
CoT Success vs Direct Failure,G4,G1,3,dir_autocorr_lag4,0.0749077760998677,0.09821708560403847,-0.4756642617386871,0.004,False
CoT Success vs Direct Failure,G4,G1,3,dir_autocorr_lag8,-0.006004072909792578,0.0033050727513101526,-0.14714814884056407,0.392,False
CoT Success vs Direct Failure,G4,G1,3,vel_autocorr_lag1,-40.04731858257755,-35.12647112800565,-1.0114142725694166,0.0,True
CoT Success vs Direct Failure,G4,G1,3,vel_autocorr_lag2,-8.58998060547183,-7.179482069707686,-0.7461204092493606,0.0,True
CoT Success vs Direct Failure,G4,G1,3,vel_autocorr_lag4,6.814941903584607,8.287699342105125,-0.3403064020567861,0.026,False
CoT Success vs Direct Failure,G4,G1,3,msd_exponent,0.09769538871529898,0.023915078919170666,4.232036459817136,0.0,True
CoT Success vs Direct Failure,G4,G1,3,cos_to_running_mean,0.642093078437942,0.8169738910604252,-4.590866203463819,0.0,True
CoT Success vs Direct Failure,G4,G1,3,cos_to_late_window,0.5145041239635827,0.6138304611047108,-4.099895403212033,0.0,True
CoT Success vs Direct Failure,G4,G1,3,time_to_commit,19.017937219730943,14.333333333333334,0.6688718407817092,0.0,True
CoT Success vs Direct Failure,G4,G1,3,recurrence_rate,0.0,0.0001059783423496607,-0.19467815197951813,0.014,False
CoT Success vs Direct Failure,G4,G1,3,psd_slope,-0.5197100858731498,-0.026262778680726663,-0.8028455084593717,0.0,True
CoT Success vs Direct Failure,G4,G1,3,spectral_entropy,0.9014191057745241,0.8839955301021922,0.78249775268593,0.0,True
