comparison,group1,group2,layer,metric,cohens_d,perm_p,significant,n1,n2
Direct Success vs Direct Failure,G2,G1,27,dir_consistency,1.0391001207435402,0.0,True,198,102
Direct Success vs Direct Failure,G2,G1,28,dir_consistency,0.7112846336040033,0.0,True,198,102
Direct Success vs Direct Failure,G2,G1,0,effective_dim,-2.5425030247151144,0.0,True,198,102
Direct Success vs Direct Failure,G2,G1,1,effective_dim,-2.4343258951864164,0.0,True,198,102
Direct Success vs Direct Failure,G2,G1,2,effective_dim,0.07465108610806412,0.548,False,198,102
Direct Success vs Direct Failure,G2,G1,3,effective_dim,0.05802208417586921,0.626,False,198,102
Direct Success vs Direct Failure,G2,G1,4,effective_dim,0.08683141362295511,0.487,False,198,102
Direct Success vs Direct Failure,G2,G1,5,effective_dim,0.12340393402409597,0.323,False,198,102
Direct Success vs Direct Failure,G2,G1,6,effective_dim,0.1336933038796898,0.283,False,198,102
Direct Success vs Direct Failure,G2,G1,7,effective_dim,0.12197526104494437,0.332,False,198,102
Direct Success vs Direct Failure,G2,G1,8,effective_dim,0.12291392472119277,0.327,False,198,102
Direct Success vs Direct Failure,G2,G1,9,effective_dim,0.16329802417417985,0.194,False,198,102
Direct Success vs Direct Failure,G2,G1,10,effective_dim,0.17607692247622103,0.159,False,198,102
Direct Success vs Direct Failure,G2,G1,11,effective_dim,0.16619603582989181,0.186,False,198,102
Direct Success vs Direct Failure,G2,G1,12,effective_dim,0.13150752476919797,0.294,False,198,102
Direct Success vs Direct Failure,G2,G1,13,effective_dim,0.14745301935574573,0.234,False,198,102
Direct Success vs Direct Failure,G2,G1,14,effective_dim,0.17262756398091436,0.164,False,198,102
Direct Success vs Direct Failure,G2,G1,15,effective_dim,0.21400010900124877,0.089,False,198,102
Direct Success vs Direct Failure,G2,G1,16,effective_dim,0.2459258084264686,0.05,False,198,102
Direct Success vs Direct Failure,G2,G1,17,effective_dim,0.25949851664276435,0.033,True,198,102
Direct Success vs Direct Failure,G2,G1,18,effective_dim,0.22516955554753362,0.075,False,198,102
Direct Success vs Direct Failure,G2,G1,19,effective_dim,0.2196022037426051,0.085,False,198,102
Direct Success vs Direct Failure,G2,G1,20,effective_dim,0.24851919836678696,0.047,True,198,102
Direct Success vs Direct Failure,G2,G1,21,effective_dim,0.21898369929624004,0.085,False,198,102
Direct Success vs Direct Failure,G2,G1,22,effective_dim,0.2565444313850275,0.037,True,198,102
Direct Success vs Direct Failure,G2,G1,23,effective_dim,0.2591683229142561,0.035,True,198,102
Direct Success vs Direct Failure,G2,G1,24,effective_dim,0.2781681489315282,0.023,True,198,102
Direct Success vs Direct Failure,G2,G1,25,effective_dim,0.2540463499097185,0.04,True,198,102
Direct Success vs Direct Failure,G2,G1,26,effective_dim,0.2461933608754364,0.046,True,198,102
Direct Success vs Direct Failure,G2,G1,27,effective_dim,-1.3709472368265698,0.0,True,198,102
Direct Success vs Direct Failure,G2,G1,28,effective_dim,-2.5262672457040845,0.0,True,198,102
Direct Success vs Direct Failure,G2,G1,0,radius_of_gyration,-2.1864510595849667,0.0,True,198,102
Direct Success vs Direct Failure,G2,G1,1,radius_of_gyration,-1.9609403803437777,0.0,True,198,102
Direct Success vs Direct Failure,G2,G1,2,radius_of_gyration,-0.38641860006932705,0.002,True,198,102
Direct Success vs Direct Failure,G2,G1,3,radius_of_gyration,-0.385983041496565,0.002,True,198,102
Direct Success vs Direct Failure,G2,G1,4,radius_of_gyration,-0.38597865920032587,0.002,True,198,102
Direct Success vs Direct Failure,G2,G1,5,radius_of_gyration,-0.38600725041861006,0.002,True,198,102
Direct Success vs Direct Failure,G2,G1,6,radius_of_gyration,-0.38594950896402613,0.002,True,198,102
Direct Success vs Direct Failure,G2,G1,7,radius_of_gyration,-0.3860234432727962,0.002,True,198,102
Direct Success vs Direct Failure,G2,G1,8,radius_of_gyration,-0.3860922393529794,0.002,True,198,102
Direct Success vs Direct Failure,G2,G1,9,radius_of_gyration,-0.3860346908778445,0.002,True,198,102
Direct Success vs Direct Failure,G2,G1,10,radius_of_gyration,-0.3859587454729489,0.002,True,198,102
Direct Success vs Direct Failure,G2,G1,11,radius_of_gyration,-0.38580359942847836,0.002,True,198,102
Direct Success vs Direct Failure,G2,G1,12,radius_of_gyration,-0.3857413064911265,0.002,True,198,102
Direct Success vs Direct Failure,G2,G1,13,radius_of_gyration,-0.38586933891532876,0.002,True,198,102
Direct Success vs Direct Failure,G2,G1,14,radius_of_gyration,-0.38610802206965533,0.002,True,198,102
